C,#,Producto,Sec
12,1,Detergente 300 ml - Cif,LIM
12,3,Desodorante para inodoro con red 25 g - Poett,LIM
12,1,Limpiador cremoso blanco 750 g - Cif,LIM
12,1,Dulce de leche 400 g - Tan Violentamente Dulce,PCL
12,2,Rollos de cocina 3 u - Dicha,PCL
12,3,Papel higienico 6u x 30 mts - Elegante,PCL
18,5,Aceite de girasol 900 cc - Zanoni,ALM
18,1,Vinagre manzana 500cc - Halconero,ALM
18,1,Vinagre alcohol 500 cc - Halconero,ALM
18,2,Lata choclo en granos 350 g - Del Agricultor,ALM
18,6,Lata de Arvejas 350 g - Del Agricultor,ALM
18,3,Garbanzos en lata remojados 350 g - Del Agricultor,ALM
18,1,Tomate perita 400 g - Mora,ALM
18,3,Puré de tomate 530 g - Mora,ALM
18,1,Atún en lata lomito 170 g - Bahía,ALM
18,1,Arroz largo fino 1 kg - Lucchetti,ALM
18,1,Lentejas 400 g - Del Agricultor,ALM
18,1,Porotos de alubia 400 g - Del Agricultor,ALM
18,2,Fideos tallarines secos 500 g - Don Pepe,ALM
18,3,Fideos tirabuzon secos 500 g - Don Pepe,ALM
18,3,Fideos mostachol secos 500 g - Don Pepe,ALM
18,1,Lentejas agroecológicas 500 g - Poroto Santto,ALM
18,2,Bizcochos salados 200 g - 9 de Oro,ALM
18,3,Galletitas Pepas 400 g - Terepín,ALM
18,1,Chocolate en polvo 180 g - Chocolino,ALM
18,1,Café de filtro 250 g - La Virginia,ALM
18,2,Mayonesa 500 g - Zanoni,ALM
18,2,Mostaza 250 g - Savora,ALM
18,1,Condimento pimienta negra 25 g - Alicante,ALM
18,2,Caldos sabor verduras 4 u - Alicante,ALM
18,2,Yerba mate 25 u - La Hoja,ALM
18,2,Galletitas crackers de agua 300 g - Paseo,FRA
18,2,Galletas marineras Mix Semillas 400 g - NS,FRA
18,3,Galletitas dulces con avena 180 g - Marinozzi,FRA
18,1,Barrita de arroz con baño blanco 6 u - Crowie,FRA
18,1,Familiar Lacteado 600 g - Don Yeyo,FRA
18,1,Familiar Salvado 600 g - Don Yeyo,FRA
18,4,Pan cinco semillas esenciales 400 g - Don Yeyo,FRA
18,2,Galletitas de arroz 150 g - Molinos del Bosque,FRA
18,1,Galletas de arroz integral x 100 g - All Rice,FRA
18,2,Chorizo parrillero x 5 unidades - Frigorifico Giusti,FRE
18,2,Pechito de cerdo - Frigorifico Giusti,FRE
18,2,Pulpa de cerdo 1 k - Frigorífico Los Abuelos,FRE
18,2,Marucha de cerdo 1k - Frigorífico Los Abuelos,FRE
18,2,Supremas de pollo 800 g - Frigorifico Giusti,FRE
18,2,Salchichas 6 u - Frigorífico Swift,FRE
18,1,Queso cremoso 500 g - Lácteos Rosario,FRE
18,2,Queso untable clásico 190 g - Milkaut,FRE
18,1,Canasta de Quesos familiar - Lácteos La Resistencia,FRE
18,4,Queso barra 400 g - Lácteos La Resistencia,FRE
18,2,Crema de leche 200 g - La Cabaña,FRE
18,1,Canasta Panchos - Varios,FRE
18,3,Tapas de empanadas 15 u - Don Sixto,FRE
18,2,Hamburguesas 2u 80 g - Sugarosa,FRZ
18,1,Ravioles de calabaza y muzzarela 1 k - Alimentos con Amor,FRZ
18,3,Costeletitas de cerdo 900 g - Frigorifico Giusti,FRZ
18,1,Medallones de Garbanzo y Yamaní - PRANA,FRZ
18,1,Medallones de lenteja y arveja 4 u - PRANA,FRZ
18,1,Medallones de Mung quinoa jengibre cúrcuma - PRANA,FRZ
18,1,Hamburguesas lentejas al romero - Souno,FRZ
18,2,"Medallones de merluza, espinaca y queso - Solimeno",FRZ
18,1,Canasta de verdura chica (9 productos) - Misión Verde,FYV
18,1,Champiniones 250 g - Misión Verde,FYV
18,1,Tomate cherry 1 k - Misión Verde,FYV
18,1,Zapallo kabutia - Misión Verde,FYV
18,1,Trapo amarillo 1 u - Cooperativa La Esperanza,LIM
18,1,Bolsa de consorcio x 10 unidades 45x60 - Cooperativa La Esperanza,LIM
18,1,Jabon cremoso x 3 u x 125 g - Nivea,LIM
18,1,Pañuelos descartables 6 u - Elegante,LIM
18,1,Shampoo 400 ml - Tresemmé,LIM
18,3,Dentífrico 90 g - Colgate,LIM
18,1,Toallas femeninas 8 u - Siempre Libre,LIM
18,1,Antitranspirante masculino 90 g - Rexona,LIM
18,1,Prestobarba 3 1 u - Gillette,LIM
18,1,Detergente 300 ml - Cif,LIM
18,1,Esponja cuadriculada 1 u - Mortimer,LIM
18,7,Yerba 1 k - Titrayju,PCL
18,1,Dulce de leche 400 g - Tan Violentamente Dulce,PCL
18,1,Aperitivo Fernet 750 cc - Branca,PCL
18,10,Leche largavida Descremada 1 L - Milkaut,PCL
18,10,Leche largavida Entera 1 L - Milkaut,PCL
18,5,Rollos de cocina 3 u - Dicha,PCL
18,6,Papel higienico 6u x 30 mts - Elegante,PCL
26,1,Aceite de girasol 900 cc - Zanoni,ALM
26,2,Garbanzos en lata remojados 350 g - Del Agricultor,ALM
26,3,Atún en lata lomito 170 g - Bahía,ALM
26,1,Aceitunas verdes nº 0 x 360 gr - Buena Cosecha,ALM
26,1,Arroz pulido largo fino 00000 - Sabroz,ALM
26,3,Lentejas 400 g - Del Agricultor,ALM
26,2,Bizcochos agridulces 200 g - 9 de Oro,ALM
26,1,Bizcochos salados 200 g - 9 de Oro,ALM
26,1,Galletitas Pepas 400 g - Terepín,ALM
26,1,Chocolate en polvo 180 g - Chocolino,ALM
26,1,Mayonesa 500 g - Zanoni,ALM
26,1,Manies pelados salados 250 g - Pronoar,ALM
26,1,Magdalenas rellenas con dulce de leche 250 g - Pozo,FRA
26,3,Galletitas crackers de agua 300 g - Paseo,FRA
26,2,Tostadas de mesa 200 g - Marinozzi,FRA
26,2,Galletitas dulces con avena 180 g - Marinozzi,FRA
26,1,Barrita de arroz con baño blanco 6 u - Crowie,FRA
26,1,Barrita de arroz con baño Limón 6 u - Crowie,FRA
26,1,Barrita de arroz con baño Marroc 6 u - Crowie,FRA
26,2,Familiar Salvado 600 g - Don Yeyo,FRA
26,1,Pan cinco semillas esenciales 400 g - Don Yeyo,FRA
26,1,Copos de Maiz tradicionales x 160 g - Granix,FRA
26,1,Pan Agroecológico con semillas - Coco Eco,FRA
26,1,Turrón almendras 1u 100 g - Salvena Miel,FRA
26,1,Turrón castañas 1 u 100 g - Salvena Miel,FRA
26,1,Turrón higos 1u 100 g - Salvena Miel,FRA
26,2,"Bandeja de 12 alfajores de maicena, con dulce de leche y coco - El Mejunje",FRA
26,3,Lengüitas de orégano o criollas 150 g - El Mejunje,FRA
26,2,Supremas de pollo 800 g - Frigorifico Giusti,FRE
26,3,Queso cremoso 500 g - Lácteos Rosario,FRE
26,2,Queso untable clásico 190 g - Milkaut,FRE
26,4,Queso crema 290 g - Milkaut,FRE
26,1,Provoletas 2 u - Lácteos La Resistencia,FRE
26,2,Ravioles de verdura 1 k - Mil Hojas,FRE
26,1,Ravioles ricota 1 K - Pastas Garcia,FRE
26,2,Crema de leche 200 g - La Cabaña,FRE
26,2,Tallarines al huevo 1/2 K - Pastas Garcia,FRE
26,1,Tapas de empanadas 15 u - Don Sixto,FRE
26,2,Tapas de tarta 2 u - Don Sixto,FRE
26,4,Yoghurt pote frutilla descremado 200 g - Milkaut,FRE
26,4,Yoghurt pote vainilla entero 200 g - Milkaut,FRE
26,1,Medallones de Mung quinoa jengibre cúrcuma - PRANA,FRZ
26,2,Hamburguesas Arveja y espinaca - Souno,FRZ
26,1,Hamburguesas de roquefort al verdeo - Souno,FRZ
26,1,"Medallones de merluza, espinaca y queso - Solimeno",FRZ
26,1,Canasta de frutas chica (4 productos) - Misión Verde,FYV
26,2,Canasta de verdura chica (9 productos) - Misión Verde,FYV
26,1,Champiniones 250 g - Misión Verde,FYV
26,1,Tomate cherry 1 k - Misión Verde,FYV
26,1,Jabón líquido para ropa - Cooperativa La Esperanza,LIM
26,1,Trapo amarillo 1 u - Cooperativa La Esperanza,LIM
26,2,Bolsa de consorcio x 10 unidades 45x60 - Cooperativa La Esperanza,LIM
26,1,Dentífrico 90 g - Colgate,LIM
26,2,Preservativos de latex x 3 u - Prime,LIM
26,1,Esponja cuadriculada 1 u - Mortimer,LIM
26,2,Esponja de acero 1 u - Task,LIM
26,1,Desodorante para inodoro con red 25 g - Poett,LIM
26,1,Yerba 1 k - Titrayju,PCL
26,1,Tomate triturado 950 g - Buena Cosecha,PCL
26,1,Dulce de leche 400 g - Tan Violentamente Dulce,PCL
26,4,Vino Malbec 750ml. - Santa Julia,PCL
26,1,Vino tinto Malbec - Alaris,PCL
26,9,Leche largavida Descremada 1 L - Milkaut,PCL
26,2,Rollos de cocina 3 u - Dicha,PCL
26,3,Papel higienico 6u x 30 mts - Elegante,PCL
46,1,Aceite de girasol 900 cc - Zanoni,ALM
46,1,Lata de Arvejas 350 g - Del Agricultor,ALM
46,2,Garbanzos en lata remojados 350 g - Del Agricultor,ALM
46,2,Tomate perita 400 g - Mora,ALM
46,2,Puré de tomate 530 g - Mora,ALM
46,1,Fideos tirabuzon secos 500 g - Don Pepe,ALM
